Time,Tehran,Qom,Gilan,Markazi,Esfahan,Fars,Khorasan-e-Razavi,Kermanshah,Lorestan,Semnan,Mazandaran,Hamedan,South Khorasan,Alborz,Hormozgan,Khuzestan,Sistan and Baluchestan,Ilam,Kerman,Ardebil,Kohgiluyeh and BuyerAhmad,Golestan,East Azarbaijan,Kordestan,Qazvin,Yazd,West Azarbaijan,Zanjan,Chahar mahall and Bakhitari,Bushehr,Northern Khorasan,Sum,Total death,,
current level,4,4,4,3,3,3,3,3,2,3,3,2,2,3,2,3,2,2,2,2,1,3,3,2,3,2,2,1,1,0,0,,4,4,4
Before 23-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,6,2,6
2-23,4,7,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,8,2,8
2-24,7,15,4,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,12,4,12
2-25,16,31,6,3,2,1,0,0,0,0,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,15,3,15
2-26,20,46,15,4,2,3,0,1,1,1,4,1,1,2,2,3,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,199,18,3,18
2-27,58,53,38,4,10,3,1,1,1,1,11,2,1,5,2,3,2,0,0,6,2,0,0,0,0,0,0,0,0,0,0,292,25,7,25
2-28,122,69,63,4,20,3,1,1,1,3,20,2,1,8,2,6,2,0,0,7,2,2,4,2,2,0,0,0,0,0,0,435,33,8,33
2-29,174,90,80,22,32,11,2,1,1,7,32,2,1,16,2,10,3,1,0,10,2,24,10,7,8,4,0,0,0,0,0,640,42,9,42
3-1,344,120,108,66,45,19,19,3,9,10,43,5,3,47,4,19,4,2,2,10,2,24,10,7,8,4,0,0,0,0,0,1025,53,11,53
3-2,569,182,161,84,68,27,25,4,9,10,55,5,6,57,11,31,5,4,4,10,2,24,10,7,26,5,4,0,0,0,0,1493,65,12,65
3-3,1055,234,216,140,120,35,28,5,11,27,62,10,6,93,11,35,6,4,4,12,2,24,44,7,55,6,4,0,0,0,0,2344,76,11,76
3-4,1308,335,251,148,120,49,36,20,16,35,71,10,6,112,11,62,14,11,18,12,2,33,53,11,80,6,4,0,0,0,0,2922,91,15,91
3-5,1352,386,333,180,238,68,89,22,30,60,121,16,15,173,13,63,19,11,18,26,2,37,65,18,111,7,10,15,9,3,3,3513,107,16,107
3-6,1413,523,424,228,388,81,89,27,80,114,301,23,18,302,19,63,21,13,25,40,6,104,75,42,176,57,11,50,14,5,15,4747,124,17,124
3-7,1539,668,494,265,484,95,135,31,107,138,606,34,18,305,30,64,34,15,40,41,6,162,77,44,178,81,33,52,16,8,23,5823,145,21,145
3-8,1805,685,496,335,564,104,154,33,144,175,620,60,44,307,35,69,34,15,41,50,9,175,107,63,207,87,40,53,21,10,24,6566,194,,
3-9,1945,712,524,389,601,133,183,44,151,220,633,60,37,307,52,73,34,31,36,72,9,175,129,66,247,90,69,68,26,11,34,7161,237,,
3-10,2114,751,524,416,618,151,222,51,176,221,886,77,51,339,69,110,40,56,40,91,11,179,146,78,257,127,73,79,37,18,34,8042,291,,
3-11,2370,804,529,447,788,170,256,59,185,284,918,84,66,385,69,127,44,62,58,92,11,188,175,84,284,150,100,101,38,18,45,8991,354,,
