,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Corse,Grand Est,Hauts-de-France,Ile-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d’Azur,"Guadeloupe, Saint-Martin, Saint-Barthélemy",Guyane,Martinique ,Mayotte,La Réunion,Total,New
2020-01-22,,,,,,,,,,,,,,,,,,,0,0
2020-01-23,,,,,,,,,,,,,,,,,,,0,0
2020-01-24,,,,,,,,,,,,,,,,,,,2,2
2020-01-25,,,,,,,,,,,,,,,,,,,3,1
2020-01-26,,,,,,,,,,,,,,,,,,,3,0
2020-01-27,,,,,,,,,,,,,,,,,,,3,0
2020-01-28,,,,,,,,,,,,,,,,,,,4,1
2020-01-29,,,,,,,,,,,,,,,,,,,5,1
2020-01-30,,,,,,,,,,,,,,,,,,,5,0
2020-01-31,,,,,,,,,,,,,,,,,,,5,0
2020-02-01,,,,,,,,,,,,,,,,,,,6,1
2020-02-02,,,,,,,,,,,,,,,,,,,6,0
2020-02-03,,,,,,,,,,,,,,,,,,,6,0
2020-02-04,,,,,,,,,,,,,,,,,,,6,0
2020-02-05,,,,,,,,,,,,,,,,,,,6,0
2020-02-06,,,,,,,,,,,,,,,,,,,6,0
2020-02-07,,,,,,,,,,,,,,,,,,,6,0
2020-02-08,,,,,,,,,,,,,,,,,,,11,5
2020-02-09,,,,,,,,,,,,,,,,,,,11,0
2020-02-10,,,,,,,,,,,,,,,,,,,11,0
2020-02-11,,,,,,,,,,,,,,,,,,,11,0
2020-02-12,,,,,,,,,,,,,,,,,,,11,0
2020-02-13,,,,,,,,,,,,,,,,,,,11,0
2020-02-14,,,,,,,,,,,,,,,,,,,11,0
2020-02-15,,,,,,,,,,,,,,,,,,,12,1
2020-02-16,,,,,,,,,,,,,,,,,,,12,0
2020-02-17,,,,,,,,,,,,,,,,,,,12,0
2020-02-18,,,,,,,,,,,,,,,,,,,12,0
2020-02-19,,,,,,,,,,,,,,,,,,,12,0
2020-02-20,,,,,,,,,,,,,,,,,,,12,0
2020-02-21,,,,,,,,,,,,,,,,,,,12,0
2020-02-22,,,,,,,,,,,,,,,,,,,12,0
2020-02-23,,,,,,,,,,,,,,,,,,,12,0
2020-02-24,,,,,,,,,,,,,,,,,,,12,0
2020-02-25,,,,,,,,,,,,,,,,,,,14,2
2020-02-26,,,,,,,,,,,,,,,,,,,18,4
2020-02-27,,,,,,,,,,,,,,,,,,,38,20
2020-02-28,,,,,,,,,,,,,,,,,,,57,19
2020-02-29,,,,,,,,,,,,,,,,,,,100,43
2020-03-01,,,,,,,,,,,,,,,,,,,130,30
2020-03-02,,,,,,,,,,,,,,,,,,,191,61
2020-03-03,,,,,,,,,,,,,,,,,,,204,13
2020-03-04,,,,,,,,,,,,,,,,,,,285,81
2020-03-05,64,39,29,2,3,77,74,76,6,8,11,8,18,3,5,0,0,0,422,137
2020-03-06,,,,,,,,,,,,,,,,,,,577,155
