Time,Tehran,Qom,Gilan,Markazi,Esfahan,Fars,Khorasan-e-Razavi,Kermanshah,Lorestan,Semnan,Mazandaran,Hamedan,South Khorasan,Alborz,Hormozgan,Khuzestan,Sistan and Baluchestan,Ilam,Kerman,Ardebil,Kohgiluyeh and BuyerAhmad,Golestan,East Azarbaijan,Kordestan,Qazvin,Yazd,West Azarbaijan,Zanjan,Chahar mahall and Bakhitari,Bushehr,Northern Khorasan,Sum
current level,4,4,4,3,3,3,3,3,2,3,3,2,2,3,2,3,2,2,2,2,1,3,3,2,3,2,2,1,1,0,0,
Before 23-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
2-23,4,7,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
2-24,7,15,4,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
2-25,16,31,6,3,2,1,0,0,0,0,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155
2-26,20,46,15,4,2,3,0,1,1,1,4,1,1,2,2,3,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,199
2-27,58,53,38,4,10,3,1,1,1,1,11,2,1,5,2,3,2,0,0,6,2,0,0,0,0,0,0,0,0,0,0,292
2-28,122,69,63,4,20,3,1,1,1,3,20,2,1,8,2,6,2,0,0,7,2,2,4,2,2,0,0,0,0,0,0,435
2-29,174,90,80,22,32,11,2,1,1,7,32,2,1,16,2,10,3,1,0,10,2,24,10,7,8,4,0,0,0,0,0,640
3-1,344,120,108,66,45,19,19,3,9,10,43,5,3,47,4,19,4,2,2,10,2,24,10,7,8,4,0,0,0,0,0,1025
3-2,569,182,161,84,68,27,25,4,9,10,55,5,6,57,11,31,5,4,4,10,2,24,10,7,26,5,4,0,0,0,0,1493
3-3,1055,234,216,140,120,35,28,5,11,27,62,10,6,93,11,35,6,4,4,12,2,24,44,7,55,6,4,0,0,0,0,2344
3-4,1308,335,251,148,120,49,36,20,16,35,71,10,6,112,11,62,14,11,18,12,2,33,53,11,80,6,4,0,0,0,0,2922
3-5,1413,523,424,228,388,81,89,27,80,114,301,23,18,302,19,63,21,13,25,40,6,104,75,42,176,57,11,50,14,5,15,4747
